nohup: ignoring input

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-01-22 19:45:38 /favicon.ico ................................. ~ 0.06ms
  2026-01-22 19:45:57 /login ....................................... ~ 0.09ms
  2026-01-22 19:45:58 /login ....................................... ~ 0.02ms
  2026-01-22 19:45:58 /images/login.png .......................... ~ 500.22ms
  2026-01-22 19:45:58 /favicon.ico ................................. ~ 0.03ms
  2026-01-22 19:46:20 /logout ...................................... ~ 1.53ms
  2026-01-22 19:46:20 / ............................................ ~ 1.82ms
  2026-01-22 19:46:20 /login ..................................... ~ 500.20ms
  2026-01-22 19:46:20 /images/login.png ............................ ~ 0.03ms
  2026-01-22 19:46:20 /favicon.ico ................................. ~ 0.02ms
  2026-01-22 19:46:28 /login ..................................... ~ 500.27ms
  2026-01-22 19:46:28 /login ....................................... ~ 0.05ms
  2026-01-22 19:46:28 /images/login.png ............................ ~ 0.03ms
  2026-01-22 19:46:28 /favicon.ico ................................. ~ 0.02ms
  2026-01-22 19:46:36 /login ..................................... ~ 500.39ms
  2026-01-22 19:46:36 /login ..................................... ~ 500.97ms
  2026-01-22 19:46:37 /images/login.png ............................ ~ 0.03ms
  2026-01-22 19:46:37 /favicon.ico ................................. ~ 0.03ms
  2026-01-22 19:46:45 /register .................................... ~ 0.36ms
  2026-01-22 19:46:45 /images/login.png ............................ ~ 0.93ms
  2026-01-22 19:46:45 /favicon.ico ................................. ~ 0.06ms
  2026-01-22 19:46:54 /register .................................... ~ 0.16ms
  2026-01-22 19:46:55 /register .................................... ~ 0.06ms
  2026-01-22 19:46:55 /images/login.png ............................ ~ 0.02ms
  2026-01-22 19:46:55 /favicon.ico ................................. ~ 0.03ms
  2026-01-22 19:47:01 /register .................................... ~ 0.09ms
  2026-01-22 19:47:01 /register .................................... ~ 0.33ms
  2026-01-22 19:47:01 /images/login.png ............................ ~ 0.02ms
  2026-01-22 19:47:01 /favicon.ico ................................. ~ 0.02ms
  2026-01-22 19:47:10 /favicon.ico ................................. ~ 0.34ms
  2026-01-22 19:47:10 /register ....................................... ~ 23s
  2026-01-22 19:47:33 /images/login.png ............................ ~ 0.04ms
  2026-01-22 19:47:33 /favicon.ico ................................. ~ 0.02ms
  2026-01-22 19:48:07 /favicon.ico ................................. ~ 0.21ms
  2026-01-22 19:48:07 /favicon.ico ..................................... ~ 1s
  2026-01-22 19:48:08 /login ........................................... ~ 3s
  2026-01-22 19:48:12 / ............................................ ~ 0.03ms
  2026-01-22 19:48:12 /images/atendenteico.png ..................... ~ 0.03ms
  2026-01-22 19:48:12 /favicon.ico ................................. ~ 0.02ms
  2026-01-22 19:49:04 /login ..................................... ~ 500.29ms
  2026-01-22 19:49:04 /login ....................................... ~ 0.03ms
  2026-01-22 19:49:04 /images/login.png ............................ ~ 0.03ms
  2026-01-22 19:49:04 /favicon.ico ................................. ~ 0.08ms
  2026-01-22 19:49:20 /login ....................................... ~ 0.09ms
  2026-01-22 19:49:20 /login ....................................... ~ 0.02ms
  2026-01-22 19:49:20 /images/login.png ............................ ~ 0.02ms
  2026-01-22 19:49:20 /favicon.ico ................................. ~ 0.15ms
  2026-01-22 19:50:22 /login ..................................... ~ 500.27ms
  2026-01-22 19:50:23 /login ....................................... ~ 0.03ms
  2026-01-22 19:50:23 /images/login.png ............................ ~ 0.02ms
  2026-01-22 19:50:23 /favicon.ico ................................. ~ 0.08ms
  2026-01-22 19:50:34 /login ..................................... ~ 500.32ms
  2026-01-22 19:50:35 / ............................................ ~ 0.03ms
  2026-01-22 19:50:35 /images/atendenteico.png ..................... ~ 0.04ms
  2026-01-22 19:50:35 /favicon.ico ................................. ~ 0.03ms
  2026-01-22 19:50:52 /logout ...................................... ~ 0.08ms
  2026-01-22 19:50:52 / ............................................ ~ 0.03ms
  2026-01-22 19:50:52 /login ....................................... ~ 0.02ms
  2026-01-22 19:50:52 /images/login.png ............................ ~ 0.05ms
  2026-01-22 19:50:52 /favicon.ico ................................. ~ 0.13ms
  2026-01-22 19:51:02 / ............................................ ~ 0.16ms
  2026-01-22 19:51:03 /login ....................................... ~ 0.03ms
  2026-01-22 19:51:03 /images/login.png ............................ ~ 0.03ms
  2026-01-22 19:51:03 /favicon.ico ................................. ~ 0.02ms
  2026-01-22 19:51:50 /favicon.ico ............................... ~ 500.28ms
  2026-01-22 19:51:50 /logout .......................................... ~ 3s
  2026-01-22 19:51:54 / ............................................ ~ 0.03ms
  2026-01-22 19:51:54 /login ....................................... ~ 0.02ms
  2026-01-22 19:51:54 /images/login.png ............................ ~ 0.02ms
  2026-01-22 19:51:54 /favicon.ico ................................. ~ 0.06ms
  2026-01-22 19:51:57 /favicon.ico ................................. ~ 0.12ms
  2026-01-22 19:52:20 /register .................................... ~ 0.18ms
  2026-01-22 19:52:20 /images/login.png ............................ ~ 0.06ms
  2026-01-22 19:52:20 /favicon.ico ................................. ~ 2.12ms
  2026-01-22 19:52:35 /register .................................... ~ 0.15ms
  2026-01-22 19:52:35 / ............................................ ~ 0.06ms
  2026-01-22 19:52:35 /images/atendenteico.png ..................... ~ 0.03ms
  2026-01-22 19:52:35 /favicon.ico ................................. ~ 0.08ms
  2026-01-22 19:52:48 /logout ...................................... ~ 0.14ms
  2026-01-22 19:52:48 / ............................................ ~ 0.05ms
  2026-01-22 19:52:48 /login ....................................... ~ 0.02ms
  2026-01-22 19:52:48 /images/login.png ............................ ~ 0.03ms
  2026-01-22 19:52:48 /favicon.ico ................................. ~ 0.13ms
  2026-01-22 19:51:57 ............................................... ~ 1m 5s
  2026-01-22 19:59:49 /login ....................................... ~ 0.10ms
  2026-01-22 19:59:49 /images/login.png ............................ ~ 0.38ms
  2026-01-22 19:59:49 /favicon.ico ................................. ~ 0.02ms
  2026-01-22 19:59:50 /login ....................................... ~ 0.22ms
  2026-01-22 19:59:50 /images/login.png ............................ ~ 0.03ms
  2026-01-22 19:59:50 /favicon.ico ................................. ~ 0.02ms
  2026-01-22 19:59:51 /login ....................................... ~ 0.12ms
  2026-01-22 19:59:51 /images/login.png ............................ ~ 0.06ms
  2026-01-22 19:59:51 /favicon.ico ................................. ~ 0.03ms
  2026-01-22 19:59:51 /login ....................................... ~ 0.12ms
  2026-01-22 19:59:51 /images/login.png ............................ ~ 0.05ms
  2026-01-22 19:59:52 /favicon.ico ................................. ~ 0.13ms
  2026-01-22 19:59:52 /login ....................................... ~ 0.04ms
  2026-01-22 19:59:52 /images/login.png .......................... ~ 500.21ms
  2026-01-22 19:59:52 /favicon.ico ................................. ~ 0.03ms
  2026-01-22 19:59:52 /login ....................................... ~ 0.02ms
  2026-01-22 19:59:52 /images/login.png .......................... ~ 500.25ms
  2026-01-22 19:59:53 /favicon.ico ................................. ~ 0.04ms
